KeyReleased,Key.f8,7.8557169
start
KeyPressed,Key.esc,7.9653524
KeyReleased,Key.esc,8.0614112
KeyPressed,r,8.2856965
KeyReleased,'r',8.3569404
KeyPressed,Key.enter,8.4451184
KeyReleased,Key.enter,8.5255371
KeyPressed,d,18.4532993
KeyPressed,w,18.7412602
KeyPressed,Key.shift,18.9010952
KeyReleased,'W',19.0776863
KeyPressed,W,19.4212352
KeyReleased,'W',19.7090374
KeyReleased,Key.shift,19.7409586
KeyReleased,'d',19.845122
KeyPressed,e,20.1730427
KeyReleased,'e',20.2772035
KeyPressed,e,22.0609954
KeyReleased,'e',22.1574601
KeyPressed,e,22.2531808
KeyReleased,'e',22.3654748
KeyPressed,Key.shift,23.8777267
KeyPressed,S,23.9018535
KeyPressed,D,24.0692098
KeyReleased,'S',24.2051656
KeyPressed,S,24.6214872
KeyReleased,'S',24.8691447
KeyPressed,Key.right,25.1651715
KeyPressed,Key.right,25.6651762
KeyPressed,Key.right,25.6980658
KeyPressed,Key.right,25.7320046
KeyPressed,Key.right,25.7650576
KeyPressed,Key.right,25.7980472
KeyPressed,Key.right,25.831003
KeyPressed,W,25.8452309
KeyReleased,Key.right,26.0132604
KeyReleased,'D',26.0293259
KeyPressed,D,26.413501
KeyReleased,'D',26.8773255
KeyPressed,D,27.0291039
KeyReleased,'D',27.2213154
KeyPressed,D,28.3892985
KeyReleased,'D',28.5409563
KeyReleased,Key.shift,29.2529956
KeyReleased,'w',29.3654547
KeyPressed,e,29.5413324
KeyReleased,'e',29.6375473
MouseMove,1586,679,31.1543599
MouseMove,1587,679,31.1555032
MouseMove,1587,679,31.1567596
MouseMove,1588,679,31.1577946
MouseMove,1588,679,31.1587788
MouseMove,1589,679,31.1607827
MouseMove,1589,679,31.1627621
MouseMove,1589,678,31.1639104
MouseMove,1590,678,31.1657474
MouseMove,1590,678,31.1698476
MouseMove,1590,678,31.1756817
MouseMove,1591,678,31.1777645
MouseMove,1591,678,31.1866207
MouseMove,1591,677,31.1876822
MouseMove,1591,677,31.1938704
MouseMove,1591,676,31.1976448
MouseMove,1591,676,31.2005962
MouseMove,1591,675,31.2026089
MouseMove,1591,675,31.2046018
MouseMove,1591,674,31.2066131
MouseMove,1591,674,31.2085218
MouseMove,1591,674,31.210681
MouseMove,1591,673,31.2116732
MouseMove,1591,673,31.213727
MouseMove,1591,672,31.214718
MouseMove,1591,672,31.2166678
MouseMove,1591,671,31.2175997
MouseMove,1591,671,31.2194699
MouseMove,1591,670,31.2204544
MouseMove,1591,670,31.2214552
MouseMove,1591,669,31.2225585
MouseMove,1591,669,31.2234614
MouseMove,1591,669,31.2245878
MouseMove,1591,668,31.2267515
MouseMove,1591,668,31.2279949
MouseMove,1591,667,31.2289159
MouseMove,1591,667,31.2297754
MouseMove,1591,666,31.2316451
MouseMove,1591,666,31.2324611
MouseMove,1591,665,31.2336869
MouseMove,1591,665,31.2346008
MouseMove,1591,664,31.2356654
MouseMove,1591,664,31.2377118
MouseMove,1591,664,31.2387374
MouseMove,1591,663,31.240735
MouseMove,1591,663,31.2417109
MouseMove,1591,662,31.2427567
MouseMove,1591,662,31.2440979
MouseMove,1591,661,31.245706
MouseMove,1591,661,31.2468913
MouseMove,1591,660,31.2486711
MouseMove,1591,660,31.2506831
MouseMove,1591,659,31.2526293
MouseMove,1591,659,31.2547042
MouseMove,1591,658,31.2576202
MouseMove,1591,658,31.2607271
MouseMove,1591,658,31.2627757
MouseMove,1591,658,31.2646923
MouseMove,1591,657,31.2667745
MouseMove,1591,657,31.2686282
MouseMove,1591,656,31.2725626
MouseMove,1591,656,31.2735651
MouseMove,1591,656,31.2756554
MouseMove,1591,655,31.2817071
MouseMove,1591,655,31.2937825
MouseMove,1591,654,31.345802
MousePressed,Button.left,1591,654,31.4398746
MouseReleased,Button.left,1591,654,31.5689412
MouseMove,1590,654,31.8866308
MouseMove,1590,654,31.8918109
MouseMove,1589,654,31.8930926
MouseMove,1589,654,31.8945649
MouseMove,1588,654,31.89575
MouseMove,1588,654,31.8968248
MouseMove,1587,653,31.8976181
MouseMove,1586,653,31.8984877
MouseMove,1586,653,31.8994885
MouseMove,1585,653,31.9005804
MouseMove,1584,653,31.9015424
MouseMove,1584,652,31.9025362
MouseMove,1584,652,31.9034914
MouseMove,1583,652,31.9046672
MouseMove,1583,652,31.9056524
MouseMove,1582,652,31.9067094
MouseMove,1581,651,31.9077558
MouseMove,1581,651,31.9089678
MouseMove,1580,651,31.9098682
MouseMove,1579,651,31.9108199
MouseMove,1579,650,31.9118158
MouseMove,1578,650,31.9126609
MouseMove,1577,650,31.9136053
MouseMove,1577,649,31.914639
MouseMove,1576,649,31.9154741
MouseMove,1575,648,31.9165846
MouseMove,1575,648,31.9176193
MouseMove,1574,648,31.9185134
MouseMove,1574,648,31.9196578
MouseMove,1574,647,31.9206945
MouseMove,1573,647,31.9216486
MouseMove,1572,647,31.9228229
MouseMove,1572,646,31.9239247
MouseMove,1571,646,31.9249959
MouseMove,1570,646,31.9264051
MouseMove,1569,646,31.9277366
MouseMove,1568,645,31.9288098
MouseMove,1567,645,31.9300081
MouseMove,1566,644,31.9318768
MouseMove,1565,644,31.9328907
MouseMove,1564,644,31.9338926
MouseMove,1563,644,31.9349158
MouseMove,1562,643,31.9359508
MouseMove,1562,643,31.9370726
MouseMove,1561,643,31.9380964
MouseMove,1560,642,31.9391594
MouseMove,1559,642,31.9402571
MouseMove,1559,642,31.9412557
MouseMove,1558,641,31.9423416
MouseMove,1557,641,31.9435291
MouseMove,1556,640,31.9449167
MouseMove,1554,640,31.9463132
MouseMove,1553,639,31.9475785
MouseMove,1552,639,31.9488662
MouseMove,1551,638,31.9501327
MouseMove,1550,638,31.9515133
MouseMove,1549,638,31.9526469
MouseMove,1548,638,31.9537178
MouseMove,1546,637,31.9548173
MouseMove,1545,637,31.9559831
MouseMove,1544,636,31.9573875
MouseMove,1543,636,31.9586361
MouseMove,1542,636,31.9599772
MouseMove,1539,635,31.9615111
MouseMove,1538,635,31.9627537
MouseMove,1536,635,31.9639887
MouseMove,1535,634,31.9651516
MouseMove,1533,634,31.966328
MouseMove,1532,634,31.96753
MouseMove,1530,633,31.9688259
MouseMove,1529,633,31.9702733
MouseMove,1527,633,31.9715115
MouseMove,1526,633,31.9727003
MouseMove,1524,632,31.973954
MouseMove,1522,632,31.9752788
MouseMove,1521,632,31.9766328
MouseMove,1519,632,31.9778766
MouseMove,1518,632,31.9793049
MouseMove,1517,632,31.9805602
MouseMove,1515,632,31.9816848
MouseMove,1513,631,31.982764
MouseMove,1511,631,31.9838724
MouseMove,1509,631,31.9854086
MouseMove,1508,631,31.986783
MouseMove,1506,631,31.9882416
MouseMove,1504,631,31.9897637
MouseMove,1504,631,31.9912132
